,City Name,Country Code,Date,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed
224,surat thani,th,03/13/18,9.14,99.33,94,73.4,20,3.36
225,pisco,pe,03/13/18,-13.71,-76.2,73,73.4,0,16.11
226,leningradskiy,ru,03/13/18,69.38,178.42,99,-16.76,0,10.67
227,gusau,ng,03/13/18,12.17,6.66,48,64.61,0,3.29
228,cayenne,gf,03/13/18,4.94,-52.33,74,80.6,75,10.29
229,nachingwea,tz,03/13/18,-10.37,38.76,98,70.28,80,2.17
230,fare,pf,03/13/18,-16.7,-151.02,100,82.25,48,11.01
231,tallahassee,us,03/13/18,30.44,-84.28,35,57.2,20,5.82
232,bambous virieux,mu,03/13/18,-20.34,57.76,88,78.8,75,14.99
233,karatuzskoye,ru,03/13/18,53.61,92.87,54,-11.27,0,2.17
234,baijiantan,cn,03/13/18,45.63,85.18,97,38.06,64,6.08
235,santiago,ph,03/13/18,16.69,121.54,90,70.91,32,2.95
236,shahpur,in,03/13/18,22.19,77.91,67,59.39,0,1.61
237,coihaique,cl,03/13/18,-45.58,-72.07,87,48.2,90,8.05
238,ialibu,pg,03/13/18,-6.28,143.99,87,63.44,36,1.39
239,charters towers,au,03/13/18,-20.07,146.27,86,75.86,0,7.99
240,hofn,is,03/13/18,64.25,-15.21,100,37.97,92,24.43
241,shimoda,jp,03/13/18,34.7,138.93,63,62.6,20,17.22
242,kyren,ru,03/13/18,51.68,102.13,66,-12.26,0,1.95
243,ambilobe,mg,03/13/18,-13.19,49.05,92,71.9,20,2.73
244,bharatpur,np,03/13/18,27.68,84.43,54,58.49,0,3.06
245,saint-joseph,re,03/13/18,-21.37,55.62,73,78.8,20,4.7
246,burns lake,ca,03/13/18,54.23,-125.76,56,42.2,48,3.74
247,camacha,pt,03/13/18,33.08,-16.33,88,64.4,40,5.82
248,carballo,es,03/13/18,43.21,-8.69,67,57.2,75,20.8
249,nortelandia,br,03/13/18,-14.45,-56.8,81,78.56,32,5.75
250,tomatlan,mx,03/13/18,19.93,-105.25,56,82.34,0,4.74
251,qom,ir,03/13/18,34.64,50.88,52,46.43,0,6.53
252,ulaangom,mn,03/13/18,49.98,92.07,75,-4.34,0,0.83
253,impfondo,cg,03/13/18,1.64,18.07,97,72.8,8,2.17
254,saint-nazaire,fr,03/13/18,47.27,-2.21,93,44.6,0,8.05
255,rockhampton,au,03/13/18,-23.38,150.51,51,82.4,20,16.11
256,kerman,ir,03/13/18,30.29,57.06,60,42.8,0,6.93
257,hobyo,so,03/13/18,5.35,48.53,93,76.94,64,7.76
258,vila velha,br,03/13/18,-3.71,-38.6,83,82.4,20,5.82
259,ewo,cg,03/13/18,-0.88,14.81,88,73.7,12,5.19
260,ust-uda,ru,03/13/18,54.17,103.03,37,-11.81,0,2.62
261,merauke,id,03/13/18,-8.49,140.4,100,75.77,80,6.53
262,tuatapere,nz,03/13/18,-46.13,167.69,92,59.57,8,20.74
263,sur,om,03/13/18,22.57,59.53,92,75.14,0,3.96
264,okhotsk,ru,03/13/18,59.36,143.24,100,5.57,36,2.28
265,dahanu,in,03/13/18,19.97,72.73,96,78.29,0,14.03
266,sangar,ru,03/13/18,63.92,127.47,73,-11.18,56,4.74
267,san jose,gt,03/13/18,16.98,-89.9,73,79.1,68,4.74
268,porto novo,cv,03/13/18,17.02,-25.06,77,69.8,40,29.97
269,severo-kurilsk,ru,03/13/18,50.68,156.12,98,31.76,88,19.06
270,igarka,ru,03/13/18,67.47,86.57,84,3.05,80,17.27
271,kazachinskoye,ru,03/13/18,57.69,93.28,46,-15.68,0,3.51
272,bafoulabe,ml,03/13/18,13.81,-10.83,60,74.51,0,2.95
273,corn island,ni,03/13/18,12.17,-83.04,100,78.56,92,13.24
274,fallon,us,03/13/18,46.84,-105.12,69,35.6,1,8.05
275,pechora,ru,03/13/18,65.12,57.16,90,21.32,80,4.85
276,ponta delgada,pt,03/13/18,37.73,-25.67,76,57.2,40,31.09
277,holalkere,in,03/13/18,14.04,76.18,74,70.64,56,5.3
278,nanortalik,gl,03/13/18,60.14,-45.24,100,22.85,0,4.07
279,morgan city,us,03/13/18,29.7,-91.21,44,62.6,1,5.82
280,touho,nc,03/13/18,-20.78,165.23,94,77.84,88,9.44
281,ushtobe,kz,03/13/18,45.25,77.98,97,36.44,92,3.85
282,cockburn town,bs,03/13/18,24.03,-74.52,97,75.41,56,9.1
283,borzya,ru,03/13/18,50.39,116.53,72,9.17,36,14.47
284,chapais,ca,03/13/18,49.78,-74.86,68,28.4,90,10.29
285,trelew,ar,03/13/18,-43.25,-65.31,28,65.6,0,9.78
286,arraias,br,03/13/18,-12.93,-46.94,93,71.54,24,4.97
287,brae,gb,03/13/18,60.4,-1.35,86,39.2,68,5.82
288,pascagoula,us,03/13/18,30.37,-88.56,30,60.8,1,9.17
289,rundu,na,03/13/18,-17.91,19.77,67,70.37,0,9.1
290,quthing,ls,03/13/18,-30.4,27.7,79,44.27,0,2.39
291,barbatesti,ro,03/13/18,45.18,24.12,76,48.2,75,16.11
292,koslan,ru,03/13/18,63.46,48.9,92,21.68,92,3.74
293,bartica,gy,03/13/18,6.41,-58.62,94,75.2,0,9.17
294,seddon,nz,03/13/18,-41.67,174.07,66,67.94,0,3.29
295,karpogory,ru,03/13/18,64.0,44.44,89,22.67,92,4.41
296,saint-augustin,ca,03/13/18,45.63,-73.98,92,30.2,90,8.05
297,mikulasovice,cz,03/13/18,50.97,14.36,93,39.2,90,11.41
298,arusha,tz,03/13/18,-3.37,36.69,94,69.8,75,2.73
299,aklavik,ca,03/13/18,68.22,-135.01,58,26.6,75,3.18
300,ponta do sol,pt,03/13/18,32.67,-17.1,82,64.4,20,12.75
301,banda aceh,id,03/13/18,5.56,95.32,98,72.08,12,2.73
302,jumla,np,03/13/18,29.28,82.18,81,20.51,12,1.72
303,mandan,us,03/13/18,46.83,-100.89,60,42.8,1,6.93
304,lagunillas,ve,03/13/18,8.5,-71.39,54,69.11,20,0.72
305,rawson,ar,03/13/18,-43.3,-65.11,28,65.6,0,9.78
306,lodja,cd,03/13/18,-3.52,23.6,98,70.28,68,2.62
307,luderitz,na,03/13/18,-26.65,15.16,88,62.6,24,18.34
308,bintulu,my,03/13/18,3.17,113.03,100,75.2,75,5.82
309,idil,tr,03/13/18,37.34,41.89,51,60.8,0,9.17
310,hinton,ca,03/13/18,53.4,-117.57,49,44.18,12,2.28
311,richards bay,za,03/13/18,-28.77,32.06,95,69.83,0,9.44
312,denpasar,id,03/13/18,-8.65,115.22,100,73.88,56,0.16
313,kotelnich,ru,03/13/18,58.31,48.34,84,24.11,92,14.03
314,vardo,no,03/13/18,70.37,31.11,78,12.2,40,12.75
315,rio brilhante,br,03/13/18,-21.8,-54.54,73,82.34,24,4.41
316,port macquarie,au,03/13/18,-31.43,152.91,83,71.6,40,11.41
317,port hawkesbury,ca,03/13/18,45.62,-61.36,88,32.0,90,26.4
318,xichang,cn,03/13/18,27.88,102.25,95,39.23,36,1.5
319,chifeng,cn,03/13/18,42.27,118.96,85,40.4,0,5.75
320,penzance,gb,03/13/18,50.12,-5.53,93,48.2,90,16.11
321,sao filipe,cv,03/13/18,14.9,-24.5,89,72.89,12,17.27
322,borogontsy,ru,03/13/18,62.67,131.17,57,-12.08,56,3.96
323,leh,in,03/13/18,34.16,77.58,79,4.04,80,1.39
324,jega,ng,03/13/18,12.22,4.38,69,69.11,0,3.4
325,huarmey,pe,03/13/18,-10.07,-78.15,66,70.01,24,2.62
326,maple creek,ca,03/13/18,49.91,-109.46,68,37.88,0,4.41
327,kirovskiy,ru,03/13/18,45.09,133.51,86,21.5,64,3.18
328,menongue,ao,03/13/18,-14.66,17.68,89,64.16,0,2.51
329,sao felix do xingu,br,03/13/18,-6.64,-51.99,92,77.03,12,2.06
330,katherine,au,03/13/18,-14.47,132.26,69,82.4,0,11.41
331,bogorodskoye,ru,03/13/18,52.37,140.44,63,13.76,8,3.74
332,palora,ec,03/13/18,-1.7,-77.97,89,66.41,0,2.39
333,teya,ru,03/13/18,60.37,92.63,68,-1.73,48,4.85
334,nizhniy baskunchak,ru,03/13/18,48.22,46.83,77,7.64,0,11.12
335,mozarlandia,br,03/13/18,-14.74,-50.57,92,74.24,32,5.64
336,auki,sb,03/13/18,-8.77,160.7,97,83.69,68,4.41
337,boyolangu,id,03/13/18,-8.09,111.9,94,72.17,44,4.07
338,mujiayingzi,cn,03/13/18,42.12,118.78,85,40.4,0,5.75
339,iquique,cl,03/13/18,-20.22,-70.14,68,71.6,0,9.17
340,nechi,co,03/13/18,5.59,-75.16,82,71.27,0,2.17
341,smithers,ca,03/13/18,54.78,-127.17,42,48.2,75,6.93
342,ishigaki,jp,03/13/18,24.34,124.16,73,71.6,75,8.05
343,grindavik,is,03/13/18,63.84,-22.43,74,41.0,75,11.41
344,canete,cl,03/13/18,-37.8,-73.4,89,49.31,8,2.51
345,north bend,us,03/13/18,43.41,-124.22,76,53.6,75,8.05
346,balkhash,kz,03/13/18,46.84,74.98,88,27.17,48,7.65
347,okha,ru,03/13/18,53.59,142.95,94,10.52,56,9.22
348,nara,ml,03/13/18,15.17,-7.29,19,79.19,76,9.22
349,santa branca,br,03/13/18,-23.4,-45.88,88,77.0,20,11.41
350,clyde river,ca,03/13/18,70.47,-68.59,75,-14.81,90,13.87
351,hokitika,nz,03/13/18,-42.72,170.96,100,59.03,88,6.76
352,kiknur,ru,03/13/18,57.3,47.21,82,22.67,76,13.24
353,calama,cl,03/13/18,-22.46,-68.93,25,66.2,0,17.22
354,lapua,fi,03/13/18,62.97,23.01,92,23.0,90,14.99
355,kloulklubed,pw,03/13/18,7.04,134.26,83,78.8,90,5.82
356,bordighera,it,03/13/18,43.79,7.66,70,48.2,0,9.17
357,bocas del toro,pa,03/13/18,9.33,-82.25,100,79.19,44,8.99
358,tuy hoa,vn,03/13/18,13.08,109.3,98,71.99,92,3.18
359,stepnyak,kz,03/13/18,52.83,70.79,85,-0.2,48,9.44
360,berlevag,no,03/13/18,70.86,29.09,100,22.04,76,8.99
361,shache,cn,03/13/18,38.42,77.24,66,43.55,32,10.45
362,gushikawa,jp,03/13/18,26.35,127.87,68,71.6,1,12.75
363,marawi,sd,03/13/18,18.48,31.82,37,58.85,0,7.76
364,namibe,ao,03/13/18,-15.19,12.15,100,75.59,32,2.51
365,stabat,id,03/13/18,3.76,98.46,88,70.73,0,2.17
366,constitucion,mx,03/13/18,23.99,-104.67,14,82.4,40,6.93
367,bealanana,mg,03/13/18,-14.54,48.75,85,63.71,44,4.07
368,ewa beach,us,03/13/18,21.32,-158.01,73,78.8,90,13.87
369,beyneu,kz,03/13/18,45.32,55.19,69,7.73,0,2.95
370,benguela,ao,03/13/18,-12.58,13.4,100,77.57,76,6.08
371,zhangye,cn,03/13/18,38.94,100.46,60,31.49,0,7.87
372,port blair,in,03/13/18,11.67,92.75,100,82.34,0,6.53
373,matara,lk,03/13/18,5.95,80.54,98,79.1,88,8.99
374,djambala,cg,03/13/18,-2.55,14.76,94,70.82,76,7.2
